,Company,Year,DIVIDEND YIELD,Price,HISTORICAL VOLATILITY 5 YEARS,RETURN ON EQUITY - TOTAL (%),Environment Pillar Score,RESEARCH & DEVELOPMENT/SALES,Governance Pillar Score,Social Pillar Score,CO2 Equivalent Emissions Indirect Scope 3 To Revenues USD in millions
0,LVMH,2010,1.74,103.6411,0.289,19.57,83.65,0.23,13.83,58.11,22.55
1,LVMH,2011,1.92,103.1454,0.3035,15.46,84.95,0.27,18.17,75.75,25.44
2,LVMH,2012,2.34,111.4818,0.3065,14.57,83.3,0.25,18.46,73.4,19.57
3,LVMH,2013,2.14,126.4872,0.2445,13.44,83.84,0.25,19.46,69.56,
4,LVMH,2014,2.29,124.14399999999999,0.2328,23.22,81.35,0.26,27.4,77.32,
5,LVMH,2015,2.06,160.15,0.2397,15.5,82.81,0.27,16.32,74.74,
6,LVMH,2016,2.22,162.5,0.237,15.69,78.65,0.3,17.63,77.66,
7,LVMH,2017,1.7,246.95,0.2244,18.57,77.71,0.3,15.76,72.87,
8,LVMH,2018,2.04,264.25,0.2184,20.78,75.77,0.28,23.36,70.53,
9,LVMH,2019,1.53,405.5,0.215,20.82,91.07,0.26,29.5,83.04,
10,LVMH,2020,1.01,477.3,0.2711,,,,,,
11,L'OREAL,2010,1.77,84.86,0.2168,15.74,84.57,3.47,72.62,91.89,216.26
12,L'OREAL,2011,2.32,77.75,0.2187,15.01,82.98,3.5,57.46,89.04,12.41
13,L'OREAL,2012,2.03,98.62,0.2145,14.87,83.56,3.52,55.73,92.25,228.46
14,L'OREAL,2013,1.83,125.35,0.1843,13.58,79.5,3.73,58.46,94.84,
15,L'OREAL,2014,1.9,131.65,0.1649,22.93,81.16,3.38,65.79,92.04,
16,L'OREAL,2015,1.63,166.15,0.1786,15.05,93.76,3.14,75.02,89.51,
17,L'OREAL,2016,1.97,157.3,0.174,12.91,82.57,3.29,80.24,91.9,278.42
18,L'OREAL,2017,1.77,186.15,0.1727,14.52,75.88,3.37,70.03,87.4,297.17
19,L'OREAL,2018,1.71,207.6,0.1708,15.06,78.19,3.39,63.95,86.85,383.69
20,L'OREAL,2019,1.47,261.5,0.1754,13.31,77.81,3.3,65.9,89.28,348.84
21,L'OREAL,2020,1.21,317.5,0.21,,,,,,
22,ASML HOLDING,2010,0.85,24.3459,0.3308,44.93,62.55,11.23,62.93,65.31,
23,ASML HOLDING,2011,0.68,30.5291,0.3406,47.18,45.87,9.94,67.87,65.54,
24,ASML HOLDING,2012,1.08,43.9423,0.3409,30.52,45.77,12.12,71.91,61.23,
25,ASML HOLDING,2013,0.8,66.18,0.2295,18.63,43.52,16.01,57.07,63.18,
26,ASML HOLDING,2014,0.75,81.59,0.2406,16.58,41.56,17.69,54.28,89.16,
27,ASML HOLDING,2015,0.82,84.97,0.2551,17.45,39.65,16.64,42.63,82.59,
28,ASML HOLDING,2016,1.12,93.73,0.2451,16.17,46.44,15.11,37.76,82.82,
29,ASML HOLDING,2017,0.78,153.55,0.2437,20.67,62.16,12.77,43.78,82.3,
30,ASML HOLDING,2018,0.95,147.74,0.2391,23.12,60.65,13.42,68.92,92.03,
31,ASML HOLDING,2019,0.89,249.0,0.2354,21.39,64.14,15.6,63.89,90.68,
32,ASML HOLDING,2020,0.71,358.1001,0.2702,,,,,,
33,SAP,2010,1.38,36.35,0.2759,19.81,83.31,13.87,81.91,83.77,13.43
34,SAP,2011,1.36,44.215,0.2881,30.55,81.3,13.62,95.48,96.62,315.31
35,SAP,2012,1.33,56.18600000000001,0.2893,21.02,81.33,13.89,94.8,97.12,292.7
36,SAP,2013,1.39,61.09,0.2226,22.05,81.35,13.57,86.98,97.04,14.06
37,SAP,2014,1.88,53.32,0.2202,18.46,76.32,13.27,86.18,96.41,17.18
38,SAP,2015,1.52,72.583,0.2263,14.33,77.54,13.68,89.15,94.76,4.99
39,SAP,2016,1.49,76.942,0.2008,14.69,78.93,13.75,87.5,98.17,4.41
40,SAP,2017,1.3,96.48,0.1791,15.49,76.96,14.24,91.82,97.96,3.14
41,SAP,2018,1.53,91.32,0.1743,15.03,76.84,14.63,93.93,97.74,2.85
42,SAP,2019,1.23,122.32,0.1791,11.15,78.63,15.54,94.39,97.59,3.08
43,SAP,2020,1.57,100.78,0.2844,,,,,,
44,PROSUS,2010,,,,,,,,,
45,PROSUS,2011,,,,,,,,,
46,PROSUS,2012,,,,,,,,,
47,PROSUS,2013,,,,,,,,,
48,PROSUS,2014,,,,,,,,,
49,PROSUS,2015,,,,,,,,,
50,PROSUS,2016,,,,,,,,,
51,PROSUS,2017,,,,,,,,,
52,PROSUS,2018,,,,64.62,,,,,
53,PROSUS,2019,0.0,61.47,0.0092,17.08,10.15,,13.85,39.44,
54,PROSUS,2020,0.0,88.14,0.4624,13.59,,,,,
55,SANOFI,2010,4.97,48.665,0.2469,10.78,68.54,14.45,64.16,79.74,
56,SANOFI,2011,5.02,49.835,0.2596,10.42,83.64,14.36,74.59,91.58,2.31
57,SANOFI,2012,3.99,66.46,0.2601,8.75,87.58,14.05,75.59,92.67,22.03
58,SANOFI,2013,3.47,79.91,0.205,6.51,88.09,14.28,80.61,93.55,37.55
59,SANOFI,2014,3.76,74.44,0.2022,7.77,84.24,14.11,78.28,92.87,41.13
60,SANOFI,2015,3.56,80.11,0.209,7.51,85.27,14.54,70.21,92.56,260.31
61,SANOFI,2016,3.78,77.59,0.2118,8.15,85.84,14.86,68.76,93.11,245.33
62,SANOFI,2017,3.9,75.97,0.2094,14.59,84.24,15.05,63.49,94.17,173.31
63,SANOFI,2018,3.82,79.23,0.2061,7.36,83.08,16.51,81.08,94.21,148.53
64,SANOFI,2019,3.7,83.08,0.1948,4.76,84.14,15.98,79.92,95.73,145.13
65,SANOFI,2020,3.68,85.53,0.1975,,,,,,
66,SIEMENS,2010,3.24,72.953,0.3278,14.18,88.79,5.06,95.33,87.49,4.58
67,SIEMENS,2011,4.09,64.113,0.3437,20.53,77.57,5.34,90.38,87.3,4.87
68,SIEMENS,2012,3.89,67.374,0.3182,14.32,76.46,5.41,91.37,79.55,4.3
69,SIEMENS,2013,3.11,87.15100000000001,0.2305,14.53,76.46,5.65,88.19,78.66,4.04
70,SIEMENS,2014,3.73,79.753,0.2239,18.19,85.71,5.65,91.65,77.35,
71,SIEMENS,2015,3.78,83.49700000000001,0.2294,22.26,79.97,5.93,88.22,78.68,
72,SIEMENS,2016,3.25,97.17399999999999,0.1984,15.87,82.41,5.94,89.92,80.06,187.34
73,SIEMENS,2017,3.1,104.795,0.1885,15.64,85.11,6.22,84.38,76.51,169.34
74,SIEMENS,2018,3.65,91.355,0.1956,13.11,87.49,6.69,88.16,72.5,160.65
75,SIEMENS,2019,3.39,103.697,0.204,11.06,87.21,6.53,93.06,74.3,169.1
76,SIEMENS,2020,3.12,112.24,0.3169,9.54,,8.05,,,
77,ANHEUSER-BUSCH INBEV,2010,0.67,42.365,0.3312,12.84,63.64,0.51,76.6,29.68,0.34
78,ANHEUSER-BUSCH INBEV,2011,1.4,42.77,0.32899999999999996,15.16,57.06,0.45,69.36,31.19,0.24
79,ANHEUSER-BUSCH INBEV,2012,1.39,64.6,0.3209,18.67,53.95,0.46,77.07,32.42,2.12
80,ANHEUSER-BUSCH INBEV,2013,1.4,77.75,0.2151,31.9,56.42,0.43,69.77,41.16,
81,ANHEUSER-BUSCH INBEV,2014,2.08,88.39,0.1551,17.9,54.14,0.46,72.6,50.63,
82,ANHEUSER-BUSCH INBEV,2015,2.37,114.0,0.183,18.72,64.81,0.47,63.37,40.37,
83,ANHEUSER-BUSCH INBEV,2016,2.72,96.74,0.1981,2.11,57.7,0.54,63.56,47.54,
84,ANHEUSER-BUSCH INBEV,2017,2.58,97.77,0.1921,10.95,53.83,0.49,82.99,48.21,463.65
85,ANHEUSER-BUSCH INBEV,2018,4.09,68.5,0.212,6.35,52.08,0.52,85.85,45.08,474.73
86,ANHEUSER-BUSCH INBEV,2019,2.49,72.15,0.228,13.26,52.62,0.56,94.19,44.63,505.26
87,ANHEUSER-BUSCH INBEV,2020,0.87,57.25,0.3964,,,,,,
88,TOTAL,2010,5.93,38.45,0.2614,18.72,88.67,0.51,32.33,61.85,3371.74
89,TOTAL,2011,6.05,37.705,0.2666,19.11,90.05,0.47,71.3,93.25,2815.88
90,TOTAL,2012,6.27,36.975,0.257,15.17,90.12,0.44,74.3,87.86,3072.73
91,TOTAL,2013,5.33,44.24,0.2034,11.74,91.53,0.55,65.27,89.59,2330.62
92,TOTAL,2014,5.35,45.575,0.2039,4.35,92.89,0.59,67.26,93.4,2028.13
93,TOTAL,2015,5.45,44.775,0.2211,5.77,93.29,0.68,60.72,94.18,2858.72
94,TOTAL,2016,5.63,43.37,0.2185,6.08,94.37,0.82,74.19,95.93,3283.17
95,TOTAL,2017,5.4,46.3,0.2039,7.84,93.04,0.61,77.69,93.63,2682.78
96,TOTAL,2018,5.16,49.995,0.1998,9.75,90.87,0.54,75.61,83.51,2172.66
97,TOTAL,2019,5.24,49.275,0.1983,9.53,90.11,0.55,83.94,83.48,2326.25
98,TOTAL,2020,7.83,34.235,0.3603,,,,,,
99,ALLIANZ,2010,4.62,88.73,0.3422,13.57,93.58,,81.85,81.6,1.53
100,ALLIANZ,2011,6.14,73.3,0.3672,6.35,96.33,,87.56,82.7,1.11
101,ALLIANZ,2012,4.87,92.4,0.3719,12.28,96.21,,85.91,81.35,0.93
102,ALLIANZ,2013,3.5,128.394,0.2967,14.26,95.64,,87.3,88.79,0.91
103,ALLIANZ,2014,4.05,130.905,0.2518,13.72,94.21,,84.68,86.66,1.61
104,ALLIANZ,2015,4.32,158.382,0.2618,13.29,94.4,,90.64,86.54,1.6
105,ALLIANZ,2016,4.82,151.416,0.226,12.71,92.74,,86.2,85.74,1.61
106,ALLIANZ,2017,3.84,197.669,0.1982,11.27,90.12,,90.44,81.97,1.28
107,ALLIANZ,2018,4.22,189.4,0.1847,13.79,88.08,,96.66,93.98,1.52
108,ALLIANZ,2019,4.12,218.6,0.1743,14.22,85.27,,96.48,91.33,1.29
